City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
212,Yerbogachen,RU,61.2767,108.0108,61.43,89,100,4.94,overcast clouds,0,0
213,Lubliniec,PL,50.669,18.6844,75.45,61,100,6.51,overcast clouds,0,0
214,Boende,CD,-0.2167,20.8667,70.07,99,99,0.67,moderate rain,1.81,0
215,San Quintin,MX,30.4833,-115.95,79.84,56,45,13.82,scattered clouds,0,0
216,Yangjiang,CN,21.85,111.9667,80.42,89,100,5.64,overcast clouds,0,0
217,Don Sak,TH,9.3168,99.6918,80.67,77,100,11.68,overcast clouds,0,0
218,Maniitsoq,GL,65.4167,-52.9,48.92,87,100,24.09,moderate rain,1.54,0
219,Olavarria,AR,-36.8927,-60.3225,53.78,55,3,9.26,clear sky,0,0
220,Moose Factory,CA,51.2585,-80.6094,63.57,48,100,7.09,overcast clouds,0,0
221,Abbeville,FR,50.1,1.8333,67.41,83,6,5.55,clear sky,0,0
222,Savannah Bight,HN,16.45,-85.85,87.85,73,10,5.75,clear sky,0,0
223,Tabou,CI,4.423,-7.3528,76.1,78,100,7.52,overcast clouds,0,0
224,Ahipara,NZ,-35.1667,173.1667,53.62,74,100,9.62,overcast clouds,0,0
225,Aransas Pass,US,27.9095,-97.15,95.23,72,1,10.36,clear sky,0,0
226,Jinxiang,CN,27.4327,120.6062,80.26,94,100,12.24,overcast clouds,0,0
227,Djambala,CG,-2.5447,14.7533,79.59,45,100,1.83,overcast clouds,0,0
228,Praxedis Guerrero,MX,31.3667,-106.0167,78.26,67,100,4.36,light rain,0.37,0
229,Padang,ID,-0.9492,100.3543,77.49,86,100,2.86,overcast clouds,0,0
230,Bengkulu,ID,-3.8004,102.2655,75.24,90,25,4.34,scattered clouds,0,0
231,Acapulco,MX,16.8634,-99.8901,87.62,70,75,9.22,broken clouds,0,0
232,Kidal,ML,18.4411,1.4078,96.37,28,0,1.45,clear sky,0,0
233,Okato,NZ,-39.2,173.8833,46.69,79,91,13.44,overcast clouds,0,0
234,Rio Gallegos,AR,-51.6226,-69.2181,59.05,38,40,24.16,scattered clouds,0,0
235,Kruisfontein,ZA,-34.0033,24.7314,45.88,78,87,3.13,light rain,0.12,0
236,Fraga,ES,41.5229,0.3489,92.23,29,6,9.8,clear sky,0,0
237,Katobu,ID,-4.9408,122.5276,73.49,92,18,4.76,few clouds,0,0
238,Mazagao,BR,-0.115,-51.2894,84.25,73,48,5.66,scattered clouds,0,0
239,Nanortalik,GL,60.1432,-45.2371,49.3,87,45,3.31,scattered clouds,0,0
240,Sawtell,AU,-30.3833,153.1,58.19,94,75,2.3,broken clouds,0,0
241,Ewa Beach,US,21.3156,-158.0072,84.15,66,20,8.05,few clouds,0,0
242,Barrow,US,71.2906,-156.7887,37.42,87,90,12.66,overcast clouds,0,0
243,Mineral Wells,US,32.8085,-98.1128,96.85,46,20,6.91,few clouds,0,0
244,Lavrentiya,RU,65.5833,-171,44.26,77,100,7.94,overcast clouds,0,0
245,Inhambane,MZ,-23.865,35.3833,67.91,68,76,21.68,broken clouds,0,0
