City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
234,Osmena,PH,2021-08-13 02:41:21,10.5208,119.9258,84.47,69,80,3.31
235,Alofi,NU,2021-08-13 02:36:53,-19.0595,-169.9187,71.49,83,87,8.05
236,San Jose Del Guaviare,CO,2021-08-13 02:41:21,2.5729,-72.6459,71.37,96,87,0.94
237,San Patricio,US,2021-08-13 02:37:08,28.017,-97.5169,86.09,69,40,11.18
238,Svetlogorsk,BY,2021-08-13 02:41:22,52.6333,29.7333,53.4,97,0,6.51
239,Rio Gallegos,AR,2021-08-13 02:34:18,-51.6226,-69.2181,44.65,65,0,13.8
240,Aklavik,CA,2021-08-13 02:41:22,68.2191,-135.0107,52.63,89,100,14.99
241,Vao,NC,2021-08-13 02:41:23,-22.6667,167.4833,67.84,66,92,16.55
242,Ovca,RS,2021-08-13 02:41:23,44.8835,20.5334,68.29,73,0,2.3
243,Taltal,CL,2021-08-13 02:41:24,-25.4,-70.4833,56.68,73,0,3.27
244,Koumac,NC,2021-08-13 02:41:24,-20.5667,164.2833,73.29,57,64,11.97
245,Price,US,2021-08-13 02:41:24,39.5994,-110.8107,88.86,11,1,5.75
246,Atikokan,CA,2021-08-13 02:41:25,48.7555,-91.6216,54.7,63,100,6.44
247,Topalu,RO,2021-08-13 02:41:25,44.55,28.05,64.89,51,94,4.76
248,Mitu,CO,2021-08-13 02:41:25,1.1983,-70.1733,70.84,94,100,1.5
249,Tashtagol,RU,2021-08-13 02:41:26,52.7657,87.8894,67.6,74,98,2.01
250,Lufilufi,WS,2021-08-13 02:36:59,-13.8745,-171.5986,83.98,75,13,12.06
251,Kushiro,JP,2021-08-13 02:41:26,42.975,144.3747,65.35,63,40,12.66
252,Sapernoye,RU,2021-08-13 02:41:27,60.7167,29.9505,57.0,93,100,5.14
253,Mayor Pablo Lagerenza,PY,2021-08-13 02:41:27,-19.9309,-60.7718,57.96,45,100,6.04
254,Sur,OM,2021-08-13 02:41:28,22.5667,59.5289,86.74,65,94,4.27
255,Jacareacanga,BR,2021-08-13 02:41:28,-6.2222,-57.7528,82.06,38,97,1.43
