City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
504,Paraiso,CR,75.96,overcast clouds,9.8383,-83.8656,Rinconcito Verde
505,Cockburn Town,TC,83.12,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
506,Nanning,CN,78.87,overcast clouds,22.8167,108.3167,Nanning Travelling With Hostel
511,Bull Savanna,JM,82.26,overcast clouds,17.8868,-77.5902,Big Red's
513,Belmonte,BR,75.7,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
514,Hansot,IN,81.84,overcast clouds,21.5833,72.8,Iram woden mart
518,Tankara,IN,82.17,overcast clouds,22.6667,70.7333,TAJ PAN
520,Aitape,PG,77.45,overcast clouds,-3.1374,142.3475,
522,Bonthe,SL,75.79,light rain,7.5264,-12.505,Bonthe Holiday Village
528,Namatanai,PG,78.06,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
530,Sabla,NG,76.19,light rain,12.7525,4.7077,
533,Hami,CN,85.46,broken clouds,42.8,93.45,Laoyutang Resort
534,Marsa Matruh,EG,79.48,clear sky,31.3525,27.2453,Beau Site
537,Kaele,CM,75.24,overcast clouds,10.1092,14.4508,Hôtel Les Palmiers
538,Marsh Harbour,BS,85.23,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
539,Saint-Georges,GD,82.13,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
542,Sabang,ID,80.33,overcast clouds,5.8933,95.3214,Hotel Citra
543,Kudahuvadhoo,MV,82.63,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
545,Barcelona,ES,89.46,clear sky,41.3888,2.159,Axel Hotel Barcelona
546,Omboue,GA,75.97,broken clouds,-1.5746,9.2618,Hotel Olako
549,Oistins,BB,87.89,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
550,Anaconda,US,79.79,clear sky,46.1285,-112.9423,Trade Wind Motel
551,Challans,FR,77.92,clear sky,46.8436,-1.8749,Citotel Le Challans
552,Santa Cruz Do Capibaribe,BR,80.56,scattered clouds,-7.9575,-36.2047,Etiqueta Hotel
553,Vierzon,FR,84.79,clear sky,47.2101,2.0625,Arche Hôtel
555,Camara De Lobos,PT,75.83,few clouds,32.6333,-16.9667,Golden Residence Hotel
556,Lasa,IT,75.11,overcast clouds,46.6166,10.7002,Pension Feldgärtenhof
559,Hauterive,FR,83.16,clear sky,46.0901,3.4459,Aletti Palace Hotel
561,Orchard Homes,US,87.94,clear sky,46.8633,-114.0484,Broadway Inn Missoula
563,Rameswaram,IN,83.05,overcast clouds,9.2833,79.3,Daiwik Hotels Rameswaram
567,Iquitos,PE,87.84,broken clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
568,Kasongo-Lunda,CD,83.01,broken clouds,-6.4667,16.8167,
571,Chenzhou,CN,75.9,light rain,25.8,113.0333,Thank Inn Chain Hotel hunan chenzhou beihu district wuling square
573,Touros,BR,81.5,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
574,Saint Anthony,US,80.92,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
575,Gigmoto,PH,81.18,scattered clouds,13.7796,124.39,Cj's Travellers Inn
578,Galle,LK,78.57,overcast clouds,6.0367,80.217,Amangalla
585,Sainte-Rose,GP,86.04,broken clouds,16.3324,-61.6979,Villa - Duzer
587,Lata,PT,88.03,clear sky,40.1629,-8.3327,Casa Maquia
